Site,Color_morph,Limb,Mass,Diameter,Height,SVL,Tail,Perch_type
C,Brown,12.2,5.75,16,101,56.2,50.2,Tree
C,Green,11.6,7.11,14,103,55.4,64.9,Building
C,Brown,12.7,7.24,25,106,59.3,59.3,Shrub
C,Brown,13.2,6.96,26,100,56.9,56.2,Other
C,Green,14.4,7.95,9,102,63.4,70.4,Building
C,Blue,15.1,6.34,51,117,68.9,38.5,Building
C,Brown,12.5,6.45,26,104,59.9,54.1,Building
C,Green,12.8,6.36,4,116,57.7,59.1,Shrub
C,Green,11.9,5.62,15,101,52.1,41,Building
C,Blue,11.2,6.03,25,92,50.8,44.3,Building
C,Blue,10.5,5.96,30,95,47.7,53.5,Tree
C,Green,12.5,7.08,21,100,56.5,41,Tree
C,Green,13.6,7.66,11,103,61.5,79.9,Tree
C,Brown,11.1,6.07,29,105,50.8,53.7,Tree
D,Blue,14.8,8.44,28,193,69.8,74.8,Tree
D,Green,15.8,7.71,11,213,72.3,61,Tree
D,Blue,16.5,8.35,38,212,72.4,82.7,Building
D,Green,14.9,8.3,4,197,71.2,81.2,Tree
D,Green,16.6,7.44,4,217,75.1,70.1,Other
D,Brown,15.6,8.02,19,212,69.3,52.6,Tree
D,Brown,16.2,8.35,22,207,70.9,53.9,Building
D,Green,15.7,6.3,9,209,68.8,37.6,Shrub
D,Green,13.8,6.39,15,191,68.7,46,Tree
D,Green,15.5,8.81,13,210,76.7,89.9,Tree
D,Blue,15.8,6.92,30,210,72.3,49.6,Building
D,Green,16.7,8.61,8,236,78.1,63.3,Tree
D,Green,14.8,8.68,14,206,71.5,68.4,Tree
D,Brown,15.3,8.89,32,202,69.8,61.4,Tree
D,Brown,14.9,9.23,22,195,69.5,71.2,Tree
D,Brown,15.1,5.72,27,198,70.9,32.9,Tree
D,Blue,14.6,7.76,37,212,70.3,59.2,Tree
D,Green,15.2,6.89,5,203,66.7,58.2,Building
D,Green,15.7,7.98,12,216,71,70.4,Tree
D,Blue,15.2,7.85,35,206,70.8,74.3,Tree
D,Blue,15.6,7.89,38,214,74.5,66.7,Other
D,Brown,13.9,8.09,27,194,66.1,71.3,Tree
D,Green,15.9,7.99,6,201,72.4,66.5,Shrub
D,Blue,14.2,7.28,29,206,65.8,52.7,Tree
D,Brown,15,8,23,198,70.5,64.1,Building
D,Blue,14.1,7.82,39,188,67.6,68.4,Other
D,Brown,13.6,7.06,33,199,65.9,62.9,Tree
E,Blue,11.5,7.09,35,189,53.5,56.3,Tree
E,Blue,11.3,5.81,29,194,51.5,49.2,Shrub
E,Green,11.8,6.23,10,195,51.4,56.7,Tree
E,Green,11.1,7.21,20,199,50.6,55.8,Building
E,Green,11,6.59,14,194,51.9,50.1,Tree
E,Blue,12.1,5.45,33,195,52.2,40.6,Tree
E,Brown,11.7,5.51,22,201,50.2,52.1,Building
E,Blue,12.2,6.24,32,193,56.5,44.3,Other
E,Green,12.3,5.8,25,205,53.1,49.4,Other
E,Blue,11.7,5.8,34,196,49.7,21.1,Shrub
E,Green,11.1,5.63,21,193,54.2,45.9,Tree
E,Green,11.6,6.01,17,202,55.9,47.5,Tree
E,Green,13.1,6.93,10,213,56.3,67.1,Tree
E,Green,10.4,5.54,17,193,48.8,44.3,Tree
E,Green,12.4,6.95,8,205,52.9,61.6,Tree
E,Green,11.8,9.07,15,193,57.1,80.4,Tree
E,Brown,11.8,6.44,22,187,53.5,59.1,Other
E,Blue,12.7,5.27,33,201,54.3,36.2,Other
E,Blue,13,6.68,35,204,56.5,48.1,Building
E,Blue,12.4,6.38,32,205,55.9,45.5,Other
E,Blue,11,6.98,25,194,54.4,70.2,Tree
E,Blue,12.5,6.8,23,200,55,52.7,Tree
E,Blue,11.8,5.97,33,188,51.7,40.9,Tree
E,Brown,10.9,6.28,22,192,48.4,52.5,Tree
E,Brown,11,7.74,17,193,52.1,69.1,Tree
E,Green,10.9,7.13,9,204,50,68.7,Tree
E,Green,10.8,6.15,16,198,49.3,37.2,Tree
E,Green,10,6.21,15,194,48.6,64.8,Tree
E,Green,11.7,6.29,11,191,54.7,56.1,Shrub
E,Brown,11.6,6.27,26,194,54.7,50.9,Shrub
E,Blue,13.2,7.77,29,203,60.6,81.4,Tree
E,Green,11.6,6.27,12,195,49.8,53.6,Tree
E,Green,12.5,8.1,18,201,53.6,67.8,Building
E,Blue,11.7,5.45,20,198,52.3,42.5,Tree
E,Brown,11.5,5.3,23,201,54.4,42.7,Tree
E,Blue,11.5,5.47,35,186,54,38.6,Other
E,Green,11.9,5.66,15,196,55.4,47.7,Tree
E,Blue,12.7,7.66,31,192,57.2,68.3,Tree
E,Brown,11.3,5.99,27,194,51.3,61,Tree
E,Brown,11.2,5.14,27,185,50.9,44.3,Tree
E,Green,12.9,6.11,13,217,56.3,54.8,Tree
E,Green,12.3,7.15,4,208,55.5,74.7,Shrub
E,Green,11.1,7.2,14,186,54.2,62.7,Tree
E,Green,11,5.5,15,189,49.4,33.7,Shrub
F,Brown,13.5,7.92,24,170,61.2,60.1,Tree
F,Blue,13.2,5.82,26,164,57.6,51.1,Shrub
F,Blue,13.9,6.93,30,182,60.9,53.7,Tree
F,Brown,12.7,5.61,24,180,60.1,32.8,Building
F,Blue,12.6,6.49,33,185,54.9,54.1,Other
F,Blue,13.3,7.41,30,170,59.7,48.7,Tree
F,Brown,13.3,8.13,28,180,58.2,76.7,Shrub
F,Brown,12.6,7.01,24,167,60.8,59.8,Other
F,Blue,10.1,5.68,25,152,50.4,48.7,Building
F,Blue,13.3,5.98,30,181,60,53.3,Tree
F,Green,12.5,6.04,17,174,55.8,48.3,Tree
F,Green,12.7,6.71,11,169,59.1,56.3,Tree
F,Brown,11.6,6.12,25,171,54.7,59.5,Building
F,Brown,12.7,6.54,23,170,62.2,57,Tree
F,Green,12.6,6.55,6,168,57.5,55,Tree
F,Green,13.1,6.31,11,180,61.1,54,Building
F,Blue,14,8.37,40,178,61.6,61.6,Other
F,Blue,12.1,6.34,30,167,58.7,51.3,Tree
F,Brown,11.7,9.31,21,164,56.5,52.4,Tree
F,Blue,13.6,6.57,33,178,59,59.8,Tree
F,Brown,12.1,7.2,25,172,60,49,Tree
F,Green,12.5,7.25,17,182,59,57,Building
F,Green,12.7,7.17,17,171,56.7,59.2,Building
F,Blue,13,6.92,37,165,60.4,63.6,Tree
F,Blue,11.4,5.88,27,159,55.9,46.5,Tree
F,Blue,13.1,6.72,43,183,61.2,59.5,Tree
F,Brown,14,6.98,25,170,63.9,55.5,Tree
F,Brown,12.4,8.49,20,170,59.6,53.8,Tree
F,Brown,11.2,5.43,23,167,53,42,Building
F,Brown,13,7.66,14,178,58.6,62.7,Tree
F,Green,13.3,7.47,12,180,60.5,45.6,Building
F,Brown,13.1,7.09,16,174,60.4,45.3,Building
F,Green,12.3,6.96,13,165,58.3,40.2,Other
F,Brown,12.8,6.99,22,170,58.3,47,Tree
F,Brown,12.8,6.13,24,174,55,51.6,Other
F,Blue,13.4,7.47,44,182,60.8,58.5,Tree
F,Brown,12.3,5.72,22,172,53.6,40.8,Tree
F,Brown,13.2,7.92,24,176,61.2,63,Tree
F,Blue,13.1,6.72,41,171,60.5,58.3,Tree
F,Brown,12.3,7.05,24,170,60.6,52.6,Tree
F,Blue,13.4,7.55,31,185,58.6,57.3,Tree
F,Brown,12.7,7.17,17,167,58.6,69.4,Tree
F,Brown,13.5,7.26,21,176,62.2,63.1,Tree
F,Blue,12.3,7.25,34,172,59.4,65,Tree
G,Brown,16.9,7.58,27,151,76.5,58.8,Tree
G,Blue,12,6.48,30,130,57.9,54.2,Other
G,Blue,14.2,6.93,37,141,69.2,53.7,Tree
G,Green,14.6,7.69,17,146,63,69.4,Building
G,Brown,13.8,7.6,22,138,63,69.4,Tree
G,Brown,12.1,6.52,22,133,58.4,51.1,Building
G,Blue,15,8.36,41,152,65.6,42.9,Other
G,Blue,14,9.14,35,145,62.1,57.2,Other
G,Brown,13.1,7.46,18,140,64.7,61.7,Shrub
G,Brown,11.3,7.95,22,127,55.3,75.5,Building
G,Brown,12.3,7.43,19,127,61,73.4,Tree
G,Brown,13.6,7.44,27,134,63.5,68.6,Tree
G,Green,14.5,7.03,14,138,62.5,57.1,Tree
G,Blue,13.9,8.59,38,141,68.6,70.3,Shrub
G,Green,12.2,6.1,4,130,53.7,58.6,Tree
G,Blue,14.5,6.72,29,137,65.3,40,Tree
G,Green,11.4,5.61,6,131,52.2,42.1,Building
G,Brown,14,6.65,28,146,65,55.5,Tree
G,Brown,15.3,8.1,26,150,68.7,73.2,Tree
G,Blue,15.6,6.54,38,153,71.2,46,Tree
G,Brown,11.6,6.67,23,134,56.5,50.4,Tree
G,Brown,14.6,6.91,33,145,66.5,50.7,Shrub
G,Green,12.5,6.78,13,128,59,54.2,Tree
G,Brown,14.5,8.36,29,142,68.4,81.1,Tree
G,Green,15.6,7.29,6,144,71.4,53,Tree
G,Brown,16,8.51,29,166,71.5,70.1,Building
H,Green,10.1,8.93,21,165,44.1,70.7,Shrub
H,Green,12.9,5.92,21,165,56.9,52.9,Tree
H,Green,11.9,6.75,13,176,57.4,43.6,Tree
H,Green,10.6,6.76,10,168,52,52.7,Tree
H,Brown,11,5.12,21,168,54,39.8,Other
H,Green,11.8,7.25,4,173,53.7,59.7,Other
H,Brown,12.3,6.82,15,176,54.7,65.4,Other
H,Brown,13.8,5.87,38,178,60.1,46.2,Building
H,Blue,10.4,4.96,37,174,43.3,40,Shrub
H,Blue,11.9,6.18,31,156,53.5,56.7,Other
H,Brown,12.1,6.31,16,174,51.4,60.9,Building
H,Green,12.5,5.56,11,177,54.4,43.4,Tree
H,Green,10.8,4.99,6,166,47.8,33,Tree
H,Green,12.1,6.49,11,179,54.7,54.5,Other
H,Blue,12.7,6.61,32,183,57.9,54.6,Shrub
H,Green,12.8,6.77,6,166,58.4,61.3,Tree
H,Blue,9.4,4.42,28,161,40.3,41.5,Tree
H,Green,10.2,6.59,9,167,49.6,62,Tree
H,Blue,11.6,7.19,28,179,48.4,51.8,Building
H,Blue,12.1,8.63,34,176,54.8,56,Other
H,Brown,12.3,6.5,25,182,57.1,51.3,Tree
H,Green,9.7,6.27,11,160,47.2,42.3,Building
H,Green,12.9,8.66,14,181,56.6,63.8,Tree
H,Blue,12.4,6.91,32,177,53,42,Tree
H,Blue,10.7,6.81,27,173,44.9,66.8,Tree
H,Green,12.6,6.99,8,181,56.8,63.1,Tree
H,Brown,10.2,5.72,25,167,50.2,40.6,Building
H,Green,9.3,4.82,14,150,44.5,43.7,Tree
H,Blue,11.4,5.39,30,171,47.3,56,Other
H,Green,11.1,6.14,14,175,50.1,57,Building
H,Blue,10,5.98,21,172,48.6,54.2,Tree
H,Brown,11.9,6.52,26,177,50.1,54.8,Other
H,Brown,12.1,6.72,15,181,55.4,62.7,Other
H,Green,11.4,5.42,17,166,51.7,44.6,Other
H,Green,11.7,6.28,21,181,50.6,51,Shrub
H,Brown,11.1,7.28,17,167,50.8,31.4,Tree
H,Blue,11.6,6.45,29,169,55.8,43.4,Tree
H,Brown,13,7.06,26,179,63.9,56.4,Tree
H,Green,11.2,6.42,12,167,55.8,48.6,Tree
H,Green,12.3,5.24,6,174,51.8,40.5,Tree
H,Brown,10.2,6.17,18,175,44.3,59,Shrub
H,Green,13,7.61,13,175,57.9,50.2,Tree
I,Green,12.4,7.13,16,138,54.9,62.5,Tree
I,Green,12.4,7.14,14,133,57.3,65.9,Tree
I,Green,13.8,6.4,5,147,61,51.6,Tree
I,Green,13.5,7.79,16,143,61.2,64.4,Tree
I,Blue,12,6.18,34,129,53.9,45.2,Shrub
I,Blue,12.3,6.73,39,141,58.8,49.4,Other
I,Brown,14.5,7.08,25,145,66.2,47.6,Tree
I,Blue,11.3,6.36,31,126,55.7,40.8,Other
I,Blue,13.4,7.25,34,130,60.6,64.9,Other
I,Blue,13.2,6.48,31,139,62.5,51.9,Tree
I,Brown,12.4,6.42,19,129,54.2,43.6,Tree
I,Green,13.2,7.04,19,143,57.9,62.1,Shrub
I,Green,11.9,6.9,14,143,56.4,65.5,Other
I,Blue,12.7,8.46,32,149,58.5,65.9,Tree
I,Brown,13.1,6.23,26,139,60.8,51.9,Tree
I,Brown,11.1,6.23,29,125,52.7,60.9,Tree
I,Brown,13.3,6.41,25,139,59.1,47.5,Tree
I,Brown,13.7,7.82,22,144,66.7,72.8,Shrub
I,Green,11.5,5.95,23,126,48.1,52.7,Tree
I,Green,10.1,5.43,12,122,48.7,48.2,Shrub
I,Green,11.3,5.48,21,125,52,47.1,Other
I,Green,12.9,7.53,11,137,57.5,66.8,Shrub
I,Green,11.5,5.93,24,128,48.4,41.1,Tree
I,Blue,14,6.2,34,126,64.4,45.4,Tree
I,Brown,14.1,8.54,33,141,64.9,81.3,Tree
I,Blue,12,5.64,21,132,54.4,51.7,Shrub
I,Green,11.2,6.26,16,140,53.7,44.6,Tree
I,Green,13.2,6.33,4,148,56.7,44.1,Tree
I,Brown,11.4,5.61,22,136,54.6,46.7,Tree
I,Green,12.5,6.62,11,133,59.2,58.9,Building
I,Brown,12.3,8.54,28,136,61.3,53.4,Tree
I,Brown,10.7,5.06,25,118,50.7,34.7,Shrub
I,Blue,11.5,6.03,28,135,50.6,48.5,Tree
I,Brown,13,6.81,20,128,55.9,74.4,Shrub
J,Green,16.7,8.71,3,156,75.1,77.1,Other
J,Blue,16.6,8.1,41,140,74.3,65.1,Tree
J,Green,16.5,9.27,9,161,78.2,78.4,Shrub
J,Brown,15.5,8.15,30,156,74.5,58.5,Building
J,Green,13.9,7.63,12,133,68.9,74.3,Tree
J,Blue,15.3,8.69,39,151,73.4,68.1,Shrub
J,Green,13.8,7.9,12,143,66.2,71.2,Building
J,Green,15.6,8.69,7,159,70.9,68,Building
J,Green,15.2,8.02,7,137,72.4,64.2,Shrub
J,Blue,15.5,8.04,33,145,71.5,67.9,Shrub
J,Blue,15.7,7.42,40,158,74.4,60.9,Tree
J,Blue,15.9,6.76,43,162,72.1,59.1,Tree
J,Green,15.9,8.57,1,156,78,72.9,Tree
J,Brown,15.9,8.11,30,144,72.4,82,Shrub
J,Green,17.3,9.19,0,164,76.6,73.9,Tree
J,Green,18.2,8.65,2,169,84.3,76.3,Tree
J,Brown,15.1,8.18,26,147,72.4,54.6,Tree
J,Green,15.4,8.79,6,143,74.9,72.7,Tree
J,Green,17.2,9.35,0,166,79.1,79.9,Tree
J,Green,16.3,8.07,9,159,72.5,68.1,Tree
J,Brown,15,7.46,19,151,74.1,61.1,Tree
J,Green,15.9,7.54,13,152,71.4,49.2,Tree
J,Green,16.5,8.16,13,162,73.2,78.3,Tree
J,Brown,16.7,8.93,31,153,75.6,74.3,Tree
J,Green,14.9,6.84,9,141,73.6,55.6,Tree
J,Blue,16.2,8.73,39,152,75.1,61.7,Tree
J,Green,16,7.16,13,158,73.2,50.4,Shrub
J,Brown,16.7,11.83,31,145,80.4,69.2,Other
J,Brown,14.9,7.95,28,153,73.3,64.7,Tree
J,Green,14.8,7.07,15,159,68.1,62.8,Tree
J,Brown,16.4,9.21,30,147,81,86.8,Shrub
J,Brown,14.9,8.68,25,146,73.7,69.2,Tree
J,Blue,17,8.31,41,164,78.6,74.4,Tree
J,Green,16.6,8.41,4,153,75,75.4,Other
J,Brown,15.7,7.92,28,146,73.8,55.6,Tree
K,Green,11.6,6.54,11,90,54.1,53.4,Tree
K,Green,10.8,5.65,13,90,49.9,38.1,Other
K,Blue,10.5,7.1,22,81,52.3,63.8,Building
K,Green,10.2,6.01,12,86,49.4,55.2,Building
K,Green,11.3,6.54,18,88,55.5,51.7,Tree
K,Brown,11.9,7,22,93,52.1,56.9,Shrub
K,Brown,11.9,6.53,24,98,52.3,42.7,Other
K,Brown,10.9,7.21,21,88,54.7,55.8,Other
K,Green,9.6,5.64,12,75,47.7,54.4,Tree
K,Green,9.7,4.89,18,58,47.7,23.7,Other
K,Blue,11.2,5.03,38,92,49.9,35.8,Building
K,Green,13,6.38,9,100,56,60.6,Tree
K,Blue,11.4,5.89,27,83,49.5,48.4,Other
K,Green,12.1,5.93,17,89,50.4,47.1,Shrub
K,Green,11.6,5.54,19,98,55.3,39.2,Building
K,Green,11.4,5.31,17,83,55.5,38.7,Tree
K,Blue,11.5,6.26,22,81,53.6,49.7,Shrub
K,Blue,10.3,6.49,35,80,50.8,40.1,Tree
K,Blue,12.3,7.79,31,101,57.7,56.6,Tree
K,Blue,11.1,7.51,26,87,54.1,50.3,Tree
K,Green,10.6,5.32,21,95,50.9,41.8,Tree
K,Brown,12.1,6.08,20,98,52.2,52.4,Building
K,Blue,12.1,6.63,34,96,57.1,53.7,Tree
K,Brown,11.1,5.95,25,83,53.1,45.6,Other
K,Brown,12.3,6.87,23,93,53.9,62.2,Tree
K,Brown,12.6,7.98,24,92,57.6,47.6,Tree
K,Blue,11.4,5.4,40,90,48.3,45.9,Shrub
K,Green,10.6,5.88,18,71,46.9,49.4,Tree
K,Blue,9.9,6.06,32,80,47.9,50.1,Tree
K,Brown,11.1,5.12,19,91,46.1,33.8,Tree
K,Green,13.2,6.81,7,97,56.5,59.7,Other
K,Green,10.2,6.2,19,82,45.7,59.2,Tree
K,Brown,11.4,6.07,16,79,54.1,53.2,Tree
K,Blue,11.9,6.75,34,90,53.4,51,Tree
K,Brown,12.5,6.13,20,94,57.4,51.1,Tree
K,Blue,11.5,5.93,26,87,54.5,43.1,Tree
L,Green,11.1,6.63,9,216,51,61.6,Tree
L,Brown,10.5,6.6,17,211,45.5,57.8,Building
L,Green,12.3,7.08,15,215,55.5,62,Building
L,Brown,9.5,4.33,22,209,40.5,34.7,Other
L,Brown,10.3,5.55,28,208,49.3,43.6,Tree
L,Green,10.6,6,9,213,45.6,50.3,Shrub
L,Green,10.2,4.85,15,214,45.2,35.6,Tree
L,Green,10.9,6.06,23,203,46.6,52.2,Tree
L,Brown,11.7,8.35,24,214,58.2,70.5,Tree
L,Blue,11.8,6.23,30,219,49.9,59.7,Tree
L,Blue,11.8,6.18,36,211,50,50.9,Other
L,Blue,11.4,8.15,29,214,56.7,71.1,Tree
L,Blue,11.3,6.54,30,209,55.4,36.8,Other
L,Blue,13.1,6.42,37,217,56.5,56.8,Tree
L,Green,10.2,5.49,13,218,49.2,47.9,Shrub
L,Blue,9.7,6.61,28,208,46.1,57.6,Tree
L,Green,12.4,6.19,8,215,58.5,53.8,Other
L,Blue,10.6,6.11,20,214,51.7,61.2,Other
L,Blue,12.1,7.16,35,219,50.5,50.5,Building
L,Brown,11.2,5.74,16,208,50.9,47.3,Building
L,Blue,9.2,4.82,31,191,42.6,44.5,Tree
L,Blue,10.5,5.29,18,205,44.3,39.9,Shrub
L,Green,11,5.85,25,210,46.1,51.3,Building
L,Blue,10.4,6.87,33,209,51.4,57.5,Tree
L,Green,11.5,5.78,17,210,56.6,42.6,Tree
L,Green,11,6.05,13,212,53.1,46.4,Tree
L,Brown,9.6,5.36,18,203,45.1,49.9,Tree
L,Green,9.4,5.79,10,204,43.3,40.8,Tree
L,Blue,10.5,4.82,31,215,44.6,39.9,Shrub
M,Brown,11.7,7.65,23,211,53.9,53.5,Tree
M,Brown,12.6,7.31,26,222,53.9,67.7,Tree
M,Green,11,5.86,12,200,52.6,33.4,Tree
M,Green,12.5,7.34,14,219,55.4,51.3,Tree
M,Blue,13.5,5.71,40,211,57.7,46.2,Tree
M,Blue,11.5,6.75,27,210,53.4,59.6,Tree
M,Blue,11.3,5.23,33,223,52.8,39.8,Shrub
M,Brown,11,6.24,26,213,51.9,59.6,Tree
M,Green,12.7,6.11,9,213,54.6,41.1,Tree
M,Blue,10.2,5.55,21,208,51.2,49.5,Other
M,Blue,11.5,6.56,31,207,54.7,52.4,Tree
M,Blue,12.1,7.54,28,207,55.7,62.9,Other
M,Brown,11.8,5.71,29,215,54.7,50.2,Tree
M,Blue,11.6,6.81,31,211,52.6,70.4,Tree
M,Green,12.2,6.19,5,212,52.7,51.5,Tree
M,Green,12.2,5.04,11,213,54.6,36.2,Other
M,Green,12.8,6.74,3,211,57.2,52.4,Shrub
M,Blue,13.2,6.79,31,217,56.1,64.4,Tree
M,Blue,12.6,5.78,36,206,54.4,49,Tree
M,Green,12.1,7.76,18,216,57.9,71.6,Shrub
M,Blue,11.1,5.13,29,209,54.6,37.8,Tree
M,Blue,11,7.58,32,202,51.8,39.6,Tree
M,Green,10.5,5.31,14,199,50.1,40.2,Shrub
M,Brown,11.9,9.79,24,210,56,70.7,Tree
M,Brown,11.4,5.5,25,213,51,50.7,Tree
M,Green,12.3,6.63,10,217,53.4,51.7,Other
M,Green,11.9,6.46,14,212,54.7,60,Tree
M,Blue,11.3,6.59,32,213,56.2,64.8,Tree
M,Brown,12.6,7.64,22,224,57.7,76.6,Building
M,Green,12.4,6.04,8,217,54.1,57,Tree
M,Brown,11.4,6.22,24,214,51.5,50.1,Shrub
M,Blue,12.3,5.03,29,210,56.7,33.9,Tree
M,Brown,11.7,5.49,28,206,54.6,44.8,Other
M,Brown,13,6.32,20,217,56.5,45.7,Tree
M,Green,11.7,7.3,12,218,57.7,51.1,Tree
M,Blue,11.8,5.27,35,216,53.1,47.2,Tree
M,Green,11.2,6.17,21,211,54.2,39.7,Shrub
M,Brown,11.5,6.39,27,204,55.6,56.8,Shrub
M,Brown,11.1,6.18,24,204,55,33.6,Tree
M,Brown,13.5,5.64,27,221,57.5,40.4,Tree
N,Green,15.5,8.36,8,126,71.1,77.5,Tree
N,Blue,14.5,7.12,32,121,68.2,64,Tree
N,Green,15.8,7.98,9,125,69.8,71,Tree
N,Green,14.6,7.01,5,121,70,55.7,Tree
N,Blue,14.9,7.82,45,119,72,49.6,Tree
N,Blue,15.8,6.88,37,129,70.1,47.5,Other
N,Blue,15.8,8.12,35,121,73.1,74.9,Shrub
N,Brown,15.5,6.91,29,120,69.7,47,Building
N,Brown,14.8,7.6,33,117,68.6,69.2,Tree
N,Brown,16.9,8.06,29,137,74.7,61.2,Shrub
N,Blue,14.9,9.54,38,128,68.4,67.5,Tree
N,Brown,14.4,6.63,24,126,66.8,50.2,Tree
N,Green,14.8,8.37,10,126,70.2,78.4,Tree
N,Green,14.7,7.59,3,136,67.9,64.5,Building
N,Brown,15.8,10.13,25,130,73.2,90,Tree
N,Brown,14.1,7.46,24,118,69.5,61.6,Other
N,Blue,15.6,7.43,38,130,69,54.5,Tree
N,Brown,14.9,7.72,24,123,69.2,49.7,Building
N,Blue,14.2,7.78,26,120,68.3,59.9,Tree
N,Brown,14.5,8.82,20,123,68.1,71.4,Tree
N,Brown,14.5,8.98,28,119,66.9,77.4,Tree
N,Green,14.9,7.48,12,122,71.9,62.1,Tree
N,Blue,15,7.94,42,112,68.9,70.4,Tree
N,Blue,14.5,7.98,34,121,71.7,73,Tree
N,Brown,14.2,6.77,23,109,68.8,52.9,Tree
