Time,Temperature,activ,beaver
1990-01-01T01:50:00Z,36.88,0,A
1990-01-01T02:00:00Z,36.94,0,A
1990-01-01T02:10:00Z,36.79,0,A
1990-01-01T02:20:00Z,36.78,0,A
1990-01-01T02:30:00Z,36.8,0,A
1990-01-01T02:40:00Z,36.82,0,A
1990-01-01T02:50:00Z,36.84,0,A
1990-01-01T03:00:00Z,36.86,0,A
1990-01-01T03:10:00Z,36.88,0,A
1990-01-01T03:20:00Z,36.93,0,A
1990-01-01T03:30:00Z,36.97,0,A
1990-01-01T03:40:00Z,37.15,1,A
1989-12-31T09:30:00Z,36.58,0,B
1989-12-31T09:40:00Z,36.73,0,B
1989-12-31T09:50:00Z,36.93,0,B
1989-12-31T10:00:00Z,37.15,0,B
1989-12-31T10:10:00Z,37.23,0,B
1989-12-31T10:20:00Z,37.24,0,B
1989-12-31T10:30:00Z,37.24,0,B
1989-12-31T10:40:00Z,36.9,0,B
1989-12-31T10:50:00Z,36.95,0,B
1989-12-31T11:00:00Z,36.89,0,B
1989-12-31T11:10:00Z,36.95,0,B
1989-12-31T11:20:00Z,37,0,B
1989-12-31T11:30:00Z,36.9,0,B
1989-12-31T11:40:00Z,36.99,0,B
1989-12-31T11:50:00Z,36.99,0,B
1989-12-31T12:00:00Z,37.01,0,B
1989-12-31T12:10:00Z,37.04,0,B
1989-12-31T12:20:00Z,37.04,0,B
1989-12-31T12:30:00Z,37.14,0,B
1989-12-31T12:40:00Z,37.07,0,B
1989-12-31T12:50:00Z,36.98,0,B
1989-12-31T13:00:00Z,37.01,0,B
1989-12-31T13:10:00Z,36.97,0,B
1989-12-31T13:20:00Z,36.97,0,B
1989-12-31T13:30:00Z,37.12,0,B
1989-12-31T13:40:00Z,37.13,0,B
1989-12-31T13:50:00Z,37.14,0,B
1989-12-31T14:00:00Z,37.15,0,B
1989-12-31T14:10:00Z,37.17,0,B
1989-12-31T14:20:00Z,37.12,0,B
1989-12-31T14:30:00Z,37.12,0,B
1989-12-31T14:40:00Z,37.17,0,B
1989-12-31T14:50:00Z,37.28,0,B
1989-12-31T15:00:00Z,37.28,0,B
1989-12-31T15:10:00Z,37.44,0,B
1989-12-31T15:20:00Z,37.51,0,B
1989-12-31T15:30:00Z,37.64,0,B
1989-12-31T15:40:00Z,37.51,0,B
1989-12-31T15:50:00Z,37.98,1,B
1989-12-31T16:00:00Z,38.02,1,B
1989-12-31T16:10:00Z,38,1,B
1989-12-31T16:20:00Z,38.24,1,B
1989-12-31T16:30:00Z,38.1,1,B
1989-12-31T16:40:00Z,38.24,1,B
1989-12-31T16:50:00Z,38.11,1,B
1989-12-31T17:00:00Z,38.02,1,B
1989-12-31T17:10:00Z,38.11,1,B
1989-12-31T17:20:00Z,38.01,1,B
1989-12-31T17:30:00Z,37.91,1,B
1989-12-31T17:40:00Z,37.96,1,B
1989-12-31T17:50:00Z,38.03,1,B
1989-12-31T18:00:00Z,38.17,1,B
1989-12-31T18:10:00Z,38.19,1,B
1989-12-31T18:20:00Z,38.18,1,B
1989-12-31T18:30:00Z,38.15,1,B
1989-12-31T18:40:00Z,38.04,1,B
1989-12-31T18:50:00Z,37.96,1,B
1989-12-31T19:00:00Z,37.84,1,B
1989-12-31T19:10:00Z,37.83,1,B
1989-12-31T19:20:00Z,37.84,1,B
1989-12-31T19:30:00Z,37.74,1,B
1989-12-31T19:40:00Z,37.76,1,B
1989-12-31T19:50:00Z,37.76,1,B
1989-12-31T20:00:00Z,37.64,1,B
1989-12-31T20:10:00Z,37.63,1,B
1989-12-31T20:20:00Z,38.06,1,B
1989-12-31T20:30:00Z,38.19,1,B
1989-12-31T20:40:00Z,38.35,1,B
1989-12-31T20:50:00Z,38.25,1,B
1989-12-31T21:00:00Z,37.86,1,B
1989-12-31T21:10:00Z,37.95,1,B
1989-12-31T21:20:00Z,37.95,1,B
1989-12-31T21:30:00Z,37.76,1,B
1989-12-31T21:40:00Z,37.6,1,B
1989-12-31T21:50:00Z,37.89,1,B
1989-12-31T22:00:00Z,37.86,1,B
1989-12-31T22:10:00Z,37.71,1,B
1989-12-31T22:20:00Z,37.78,1,B
1989-12-31T22:30:00Z,37.82,1,B
1989-12-31T22:40:00Z,37.76,1,B
1989-12-31T22:50:00Z,37.81,1,B
1989-12-31T23:00:00Z,37.84,1,B
1989-12-31T23:10:00Z,38.01,1,B
1989-12-31T23:20:00Z,38.1,1,B
1989-12-31T23:30:00Z,38.15,1,B
1989-12-31T23:40:00Z,37.92,1,B
1989-12-31T23:50:00Z,37.64,1,B
1990-01-01T00:00:00Z,37.7,1,B
1990-01-01T00:10:00Z,37.46,1,B
1990-01-01T00:20:00Z,37.41,1,B
1990-01-01T00:30:00Z,37.46,1,B
1990-01-01T00:40:00Z,37.56,1,B
1990-01-01T00:50:00Z,37.55,1,B
1990-01-01T01:00:00Z,37.75,1,B
1990-01-01T01:10:00Z,37.76,1,B
1990-01-01T01:20:00Z,37.73,1,B
1990-01-01T01:30:00Z,37.77,1,B
1990-01-01T01:40:00Z,38.01,1,B
1990-01-01T01:50:00Z,38.04,1,B
1990-01-01T02:00:00Z,38.07,1,B
