Site,Color_morph,Limb,Mass,Diameter,Height,SVL,Tail,Perch_type
G,Green,14.5,7.03,14,138,62.5,57.1,Tree
G,Blue,13.9,8.59,38,141,68.6,70.3,Shrub
G,Green,12.2,6.1,4,130,53.7,58.6,Tree
G,Blue,14.5,6.72,29,137,65.3,40,Tree
G,Green,11.4,5.61,6,131,52.2,42.1,Building
G,Blue,15.6,6.54,38,153,71.2,46,Tree
G,Green,12.5,6.78,13,128,59,54.2,Tree
G,Green,15.6,7.29,6,144,71.4,53,Tree
H,Green,10.1,8.93,21,165,44.1,70.7,Shrub
H,Green,12.9,5.92,21,165,56.9,52.9,Tree
H,Green,11.9,6.75,13,176,57.4,43.6,Tree
H,Green,10.6,6.76,10,168,52,52.7,Tree
H,Green,11.8,7.25,4,173,53.7,59.7,Other
H,Blue,10.4,4.96,37,174,43.3,40,Shrub
H,Blue,11.9,6.18,31,156,53.5,56.7,Other
H,Green,12.5,5.56,11,177,54.4,43.4,Tree
H,Green,10.8,4.99,6,166,47.8,33,Tree
H,Green,12.1,6.49,11,179,54.7,54.5,Other
H,Blue,12.7,6.61,32,183,57.9,54.6,Shrub
H,Green,12.8,6.77,6,166,58.4,61.3,Tree
H,Blue,9.4,4.42,28,161,40.3,41.5,Tree
H,Green,10.2,6.59,9,167,49.6,62,Tree
H,Blue,11.6,7.19,28,179,48.4,51.8,Building
H,Blue,12.1,8.63,34,176,54.8,56,Other
H,Green,9.7,6.27,11,160,47.2,42.3,Building
H,Green,12.9,8.66,14,181,56.6,63.8,Tree
H,Blue,12.4,6.91,32,177,53,42,Tree
H,Blue,10.7,6.81,27,173,44.9,66.8,Tree
H,Green,12.6,6.99,8,181,56.8,63.1,Tree
H,Green,9.3,4.82,14,150,44.5,43.7,Tree
H,Blue,11.4,5.39,30,171,47.3,56,Other
H,Green,11.1,6.14,14,175,50.1,57,Building
H,Blue,10,5.98,21,172,48.6,54.2,Tree
H,Green,11.4,5.42,17,166,51.7,44.6,Other
H,Green,11.7,6.28,21,181,50.6,51,Shrub
H,Blue,11.6,6.45,29,169,55.8,43.4,Tree
H,Green,11.2,6.42,12,167,55.8,48.6,Tree
H,Green,12.3,5.24,6,174,51.8,40.5,Tree
H,Green,13,7.61,13,175,57.9,50.2,Tree
I,Green,12.4,7.13,16,138,54.9,62.5,Tree
I,Green,12.4,7.14,14,133,57.3,65.9,Tree
I,Green,13.8,6.4,5,147,61,51.6,Tree
I,Green,13.5,7.79,16,143,61.2,64.4,Tree
I,Blue,12,6.18,34,129,53.9,45.2,Shrub
I,Blue,12.3,6.73,39,141,58.8,49.4,Other
I,Brown,14.5,7.08,25,145,66.2,47.6,Tree
I,Blue,11.3,6.36,31,126,55.7,40.8,Other
I,Blue,13.4,7.25,34,130,60.6,64.9,Other
I,Blue,13.2,6.48,31,139,62.5,51.9,Tree
I,Brown,12.4,6.42,19,129,54.2,43.6,Tree
I,Green,13.2,7.04,19,143,57.9,62.1,Shrub
I,Green,11.9,6.9,14,143,56.4,65.5,Other
I,Blue,12.7,8.46,32,149,58.5,65.9,Tree
I,Brown,13.1,6.23,26,139,60.8,51.9,Tree
I,Brown,11.1,6.23,29,125,52.7,60.9,Tree
I,Brown,13.3,6.41,25,139,59.1,47.5,Tree
I,Brown,13.7,7.82,22,144,66.7,72.8,Shrub
I,Green,11.5,5.95,23,126,48.1,52.7,Tree
I,Green,10.1,5.43,12,122,48.7,48.2,Shrub
I,Green,11.3,5.48,21,125,52,47.1,Other
I,Green,12.9,7.53,11,137,57.5,66.8,Shrub
I,Green,11.5,5.93,24,128,48.4,41.1,Tree
I,Blue,14,6.2,34,126,64.4,45.4,Tree
I,Brown,14.1,8.54,33,141,64.9,81.3,Tree
I,Blue,12,5.64,21,132,54.4,51.7,Shrub
I,Green,11.2,6.26,16,140,53.7,44.6,Tree
I,Green,13.2,6.33,4,148,56.7,44.1,Tree
I,Brown,11.4,5.61,22,136,54.6,46.7,Tree
I,Green,12.5,6.62,11,133,59.2,58.9,Building
I,Brown,12.3,8.54,28,136,61.3,53.4,Tree
I,Brown,10.7,5.06,25,118,50.7,34.7,Shrub
I,Blue,11.5,6.03,28,135,50.6,48.5,Tree
I,Brown,13,6.81,20,128,55.9,74.4,Shrub
J,Blue,16.6,8.1,41,140,74.3,65.1,Tree
J,Brown,15.5,8.15,30,156,74.5,58.5,Building
J,Blue,15.3,8.69,39,151,73.4,68.1,Shrub
J,Blue,15.5,8.04,33,145,71.5,67.9,Shrub
J,Blue,15.7,7.42,40,158,74.4,60.9,Tree
J,Blue,15.9,6.76,43,162,72.1,59.1,Tree
J,Brown,15.9,8.11,30,144,72.4,82,Shrub
J,Brown,15.1,8.18,26,147,72.4,54.6,Tree
J,Brown,15,7.46,19,151,74.1,61.1,Tree
J,Brown,16.7,8.93,31,153,75.6,74.3,Tree
J,Blue,16.2,8.73,39,152,75.1,61.7,Tree
J,Brown,16.7,11.83,31,145,80.4,69.2,Other
J,Brown,14.9,7.95,28,153,73.3,64.7,Tree
J,Brown,16.4,9.21,30,147,81,86.8,Shrub
J,Brown,14.9,8.68,25,146,73.7,69.2,Tree
J,Blue,17,8.31,41,164,78.6,74.4,Tree
J,Brown,15.7,7.92,28,146,73.8,55.6,Tree
K,Blue,10.5,7.1,22,81,52.3,63.8,Building
K,Brown,11.9,7,22,93,52.1,56.9,Shrub
K,Brown,11.9,6.53,24,98,52.3,42.7,Other
K,Brown,10.9,7.21,21,88,54.7,55.8,Other
K,Blue,11.2,5.03,38,92,49.9,35.8,Building
K,Blue,11.4,5.89,27,83,49.5,48.4,Other
K,Blue,11.5,6.26,22,81,53.6,49.7,Shrub
K,Blue,10.3,6.49,35,80,50.8,40.1,Tree
K,Blue,12.3,7.79,31,101,57.7,56.6,Tree
K,Blue,11.1,7.51,26,87,54.1,50.3,Tree
K,Brown,12.1,6.08,20,98,52.2,52.4,Building
K,Blue,12.1,6.63,34,96,57.1,53.7,Tree
K,Brown,11.1,5.95,25,83,53.1,45.6,Other
K,Brown,12.3,6.87,23,93,53.9,62.2,Tree
K,Brown,12.6,7.98,24,92,57.6,47.6,Tree
K,Blue,11.4,5.4,40,90,48.3,45.9,Shrub
K,Blue,9.9,6.06,32,80,47.9,50.1,Tree
K,Brown,11.1,5.12,19,91,46.1,33.8,Tree
K,Brown,11.4,6.07,16,79,54.1,53.2,Tree
K,Blue,11.9,6.75,34,90,53.4,51,Tree
K,Brown,12.5,6.13,20,94,57.4,51.1,Tree
K,Blue,11.5,5.93,26,87,54.5,43.1,Tree
L,Brown,10.5,6.6,17,211,45.5,57.8,Building
L,Brown,9.5,4.33,22,209,40.5,34.7,Other
L,Brown,10.3,5.55,28,208,49.3,43.6,Tree
L,Brown,11.7,8.35,24,214,58.2,70.5,Tree
L,Blue,11.8,6.23,30,219,49.9,59.7,Tree
L,Blue,11.8,6.18,36,211,50,50.9,Other
L,Blue,11.4,8.15,29,214,56.7,71.1,Tree
L,Blue,11.3,6.54,30,209,55.4,36.8,Other
L,Blue,13.1,6.42,37,217,56.5,56.8,Tree
L,Blue,9.7,6.61,28,208,46.1,57.6,Tree
L,Blue,10.6,6.11,20,214,51.7,61.2,Other
L,Blue,12.1,7.16,35,219,50.5,50.5,Building
L,Brown,11.2,5.74,16,208,50.9,47.3,Building
L,Blue,9.2,4.82,31,191,42.6,44.5,Tree
L,Blue,10.5,5.29,18,205,44.3,39.9,Shrub
L,Blue,10.4,6.87,33,209,51.4,57.5,Tree
L,Brown,9.6,5.36,18,203,45.1,49.9,Tree
L,Blue,10.5,4.82,31,215,44.6,39.9,Shrub
M,Brown,11.7,7.65,23,211,53.9,53.5,Tree
M,Brown,12.6,7.31,26,222,53.9,67.7,Tree
M,Blue,13.5,5.71,40,211,57.7,46.2,Tree
M,Blue,11.5,6.75,27,210,53.4,59.6,Tree
M,Blue,11.3,5.23,33,223,52.8,39.8,Shrub
M,Brown,11,6.24,26,213,51.9,59.6,Tree
M,Blue,10.2,5.55,21,208,51.2,49.5,Other
M,Blue,11.5,6.56,31,207,54.7,52.4,Tree
M,Blue,12.1,7.54,28,207,55.7,62.9,Other
M,Brown,11.8,5.71,29,215,54.7,50.2,Tree
M,Blue,11.6,6.81,31,211,52.6,70.4,Tree
M,Blue,13.2,6.79,31,217,56.1,64.4,Tree
M,Blue,12.6,5.78,36,206,54.4,49,Tree
M,Blue,11.1,5.13,29,209,54.6,37.8,Tree
M,Blue,11,7.58,32,202,51.8,39.6,Tree
M,Brown,11.9,9.79,24,210,56,70.7,Tree
M,Brown,11.4,5.5,25,213,51,50.7,Tree
M,Blue,11.3,6.59,32,213,56.2,64.8,Tree
M,Brown,12.6,7.64,22,224,57.7,76.6,Building
M,Brown,11.4,6.22,24,214,51.5,50.1,Shrub
M,Blue,12.3,5.03,29,210,56.7,33.9,Tree
M,Brown,11.7,5.49,28,206,54.6,44.8,Other
M,Brown,13,6.32,20,217,56.5,45.7,Tree
M,Blue,11.8,5.27,35,216,53.1,47.2,Tree
M,Brown,11.5,6.39,27,204,55.6,56.8,Shrub
M,Brown,11.1,6.18,24,204,55,33.6,Tree
M,Brown,13.5,5.64,27,221,57.5,40.4,Tree
N,Blue,14.5,7.12,32,121,68.2,64,Tree
N,Blue,14.9,7.82,45,119,72,49.6,Tree
N,Blue,15.8,6.88,37,129,70.1,47.5,Other
N,Blue,15.8,8.12,35,121,73.1,74.9,Shrub
N,Brown,15.5,6.91,29,120,69.7,47,Building
N,Brown,14.8,7.6,33,117,68.6,69.2,Tree
N,Brown,16.9,8.06,29,137,74.7,61.2,Shrub
N,Blue,14.9,9.54,38,128,68.4,67.5,Tree
N,Brown,14.4,6.63,24,126,66.8,50.2,Tree
N,Brown,15.8,10.13,25,130,73.2,90,Tree
N,Brown,14.1,7.46,24,118,69.5,61.6,Other
N,Blue,15.6,7.43,38,130,69,54.5,Tree
N,Brown,14.9,7.72,24,123,69.2,49.7,Building
N,Blue,14.2,7.78,26,120,68.3,59.9,Tree
N,Brown,14.5,8.82,20,123,68.1,71.4,Tree
N,Brown,14.5,8.98,28,119,66.9,77.4,Tree
N,Blue,15,7.94,42,112,68.9,70.4,Tree
N,Blue,14.5,7.98,34,121,71.7,73,Tree
N,Brown,14.2,6.77,23,109,68.8,52.9,Tree
N,Brown,15.7,7.36,24,116,69.5,56.4,Tree
O,Blue,13.2,7.7,32,211,61.3,64.7,Tree
O,Brown,13.2,6.99,27,200,65.5,59.6,Other
O,Blue,16.7,8.64,40,212,74.8,70.6,Tree
O,Blue,16.1,8.84,32,217,77.4,74.3,Tree
O,Blue,18.7,9.33,43,230,84.5,88.9,Tree
O,Blue,15.3,7.94,41,202,74.2,52.8,Tree
O,Brown,14.7,7.73,18,216,64.2,63,Tree
O,Brown,14.8,8.02,23,220,71.2,57.2,Tree
O,Blue,13.9,9.35,27,203,67.8,77.8,Shrub
O,Blue,15.5,7.23,31,218,67.9,56.2,Shrub
O,Brown,14.8,7.34,22,213,69.3,64.2,Tree
O,Brown,15.4,6.4,24,224,72.8,36.9,Tree
O,Brown,16.4,9.63,24,217,74.3,65.7,Tree
O,Brown,15,7.71,28,203,73.3,67.3,Tree
O,Blue,16.1,8.5,36,221,79.3,73.8,Tree
O,Brown,13.7,8.18,18,206,67.3,64.8,Building
O,Brown,16.4,7.42,26,212,75.8,64.4,Shrub
O,Brown,13,7.31,16,215,65.1,66,Tree
O,Blue,14.6,8.05,41,217,71.7,63.4,Other
O,Blue,15.1,7.36,34,210,75,62.2,Other
O,Brown,16,7.36,22,215,72.6,59.2,Building
O,Blue,14.2,7.29,36,201,65.6,53.1,Building
O,Blue,14,8.17,30,199,67.1,70.7,Tree
O,Brown,17.3,8.04,23,223,80.2,56.6,Other
P,Brown,12.7,6.97,17,216,58.4,65.1,Tree
P,Brown,14.2,7.87,20,225,68.3,71.8,Tree
P,Brown,13.6,7.01,24,214,60.3,64,Tree
P,Brown,14.9,7.47,30,229,66.5,73.4,Building
P,Brown,15.4,7.95,23,227,72.9,73.1,Other
P,Brown,13.2,8.05,25,203,60.1,75.9,Tree
P,Brown,14.4,7.37,19,227,67.5,70.6,Tree
P,Brown,12.8,7.75,25,214,63.7,62.8,Tree
P,Brown,15.4,9.58,29,216,70.4,81.6,Tree
P,Brown,10.4,5.92,24,200,52,38.2,Tree
P,Brown,11.7,6.78,30,208,56.2,55.1,Tree
P,Brown,14.1,8.2,20,226,67.2,69.2,Tree
P,Brown,12.9,7.25,27,211,60.9,72.3,Shrub
Q,Brown,14.5,6.26,22,193,62.7,43.5,Shrub
Q,Brown,15,8.22,26,205,68.3,66,Tree
Q,Brown,14.3,7.28,25,190,65.2,61.6,Building
Q,Brown,13.2,7.49,15,195,65.3,64.3,Tree
Q,Brown,15.7,7.77,22,199,70.9,68,Tree
Q,Brown,14.6,6.94,20,192,65.1,59.9,Tree
Q,Brown,12.5,6.78,25,182,62.3,58.2,Tree
Q,Brown,14.6,7.62,25,190,68.9,70.1,Tree
Q,Brown,12.4,6.88,27,175,57.8,56.7,Tree
Q,Brown,13.9,8.26,28,193,69.1,66.4,Building
Q,Brown,14.4,7.94,31,197,70,76.8,Tree
Q,Brown,12.1,7.4,25,194,59.7,66.8,Tree
R,Brown,15,8.62,26,216,67.9,67.6,Tree
R,Brown,16,7.73,32,238,71.7,67.5,Tree
R,Brown,15.2,9.33,33,214,74.3,55.3,Tree
R,Brown,15.1,7.64,22,230,68,72.4,Shrub
R,Brown,14.7,8.44,25,206,64.1,77.7,Tree
R,Brown,15.1,8.17,29,208,71.5,56.9,Building
R,Brown,16.4,8.12,27,237,75.8,46.4,Tree
R,Brown,17.1,8.89,32,225,75.8,77.9,Shrub
R,Brown,14,6.66,28,223,65.5,57.2,Tree
R,Brown,14.7,8.21,18,206,70.7,79.3,Building
R,Brown,17.1,8.3,23,217,78.5,50.3,Building
R,Brown,14.1,6.8,18,210,67.6,58,Tree
R,Brown,17.4,7.68,29,225,77.5,63.7,Shrub
R,Brown,15.8,7.9,18,234,69.3,67.4,Tree
S,Brown,12.4,6.46,21,104,57.2,53.3,Tree
S,Brown,11.8,6.53,22,104,58.7,50.1,Other
S,Brown,10.7,5.8,17,86,51.9,47.3,Tree
S,Brown,11.5,6.47,21,89,56.6,65.7,Tree
S,Brown,12.9,7.98,27,103,56.6,73.8,Tree
